ProbabilityValue,Name
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
2,Fear
2,Fear
2,Fear
2,Fear
3,Happy
6,Suprise
3,Happy
2,Fear
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
2,Fear
4,Neutral
3,Happy
3,Happy
4,Neutral
4,Neutral
4,Neutral
3,Happy
3,Happy
3,Happy
6,Suprise
3,Happy
6,Suprise
2,Fear
2,Fear
6,Suprise
3,Happy
3,Happy
2,Fear
2,Fear
2,Fear
6,Suprise
6,Suprise
3,Happy
2,Fear
6,Suprise
6,Suprise
3,Happy
3,Happy
6,Suprise
6,Suprise
4,Neutral
3,Happy
4,Neutral
2,Fear
3,Happy
4,Neutral
4,Neutral
4,Neutral
3,Happy
3,Happy
2,Fear
4,Neutral
4,Neutral
3,Happy
4,Neutral
4,Neutral
4,Neutral
2,Fear
2,Fear
3,Happy
4,Neutral
3,Happy
4,Neutral
3,Happy
4,Neutral
4,Neutral
4,Neutral
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
3,Happy
3,Happy
3,Happy
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
4,Neutral
3,Happy
4,Neutral
6,Suprise
4,Neutral
3,Happy
3,Happy
6,Suprise
6,Suprise
4,Neutral
4,Neutral
6,Suprise
4,Neutral
6,Suprise
4,Neutral
6,Suprise
4,Neutral
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
2,Fear
6,Suprise
6,Suprise
6,Suprise
6,Suprise
1,Disgust
4,Neutral
6,Suprise
4,Neutral
4,Neutral
3,Happy
4,Neutral
6,Suprise
3,Happy
3,Happy
1,Disgust
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
6,Suprise
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
2,Fear
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
4,Neutral
6,Suprise
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
6,Suprise
2,Fear
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
4,Neutral
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
3,Happy
3,Happy
6,Suprise
6,Suprise
3,Happy
1,Disgust
4,Neutral
4,Neutral
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
1,Disgust
3,Happy
6,Suprise
6,Suprise
6,Suprise
6,Suprise
3,Happy
6,Suprise
6,Suprise
3,Happy
6,Suprise
4,Neutral
6,Suprise
2,Fear
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
1,Disgust
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
3,Happy
6,Suprise
3,Happy
6,Suprise
6,Suprise
3,Happy
6,Suprise
6,Suprise
6,Suprise
3,Happy
3,Happy
3,Happy
6,Suprise
3,Happy
4,Neutral
3,Happy
3,Happy
6,Suprise
3,Happy
3,Happy
6,Suprise
3,Happy
6,Suprise
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
4,Neutral
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
3,Happy
6,Suprise
6,Suprise
6,Suprise
6,Suprise
6,Suprise
3,Happy
3,Happy
6,Suprise
3,Happy
4,Neutral
4,Neutral
6,Suprise
4,Neutral
3,Happy
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
6,Suprise
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
4,Neutral
6,Suprise
3,Happy
3,Happy
3,Happy
3,Happy
2,Fear
4,Neutral
3,Happy
3,Happy
4,Neutral
6,Suprise
3,Happy
4,Neutral
3,Happy
3,Happy
